chapter	chapter_title	unit	title	path	physical_pdf_pages	printed_pages	coverage	figures_tables_footnotes	status	uncertainties
frontmatter	Front matter	publication	Title, publication data, and dedication	latex/frontmatter/publication.tex	1--5	unnumbered	Title, publication data, and dedication; master.tex emits the title and dedication, while this file supplies the publication leaf.	none.	source-reviewed and compile-clean.	none.
frontmatter	Front matter	preface	Preface	latex/frontmatter/preface.tex	6--8	Preface pp. vii--ix	Preface.	none.	source-reviewed and compile-clean.	none.
frontmatter	Front matter	notation-and-contents	Notation and contents	latex/frontmatter/notation.tex	8--25, plus supplemental Contents p. xxii (`source-supplements/contents-pxxii.png`) between physical pp. 19--20	p. ix and Contents pp. xi--xxvii	Modernized notation leaf and source contents; master.tex generates the typeset table of contents from the complete assembly.	none.	source-reviewed and compile-clean.	none.
frontmatter	Front matter	copyright-acknowledgements	Copyright acknowledgements and Part One divider	latex/frontmatter/copyright-acknowledgements.tex	26--27	unnumbered	Copyright acknowledgements and Part One divider; master.tex emits the part divider.	none.	source-reviewed and compile-clean.	none.
1	Historical Introduction	opening	Chapter 1 opening	latex/chapters/chapter01/introduction.tex	28--29	pp. 3--4	Chapter 1 opening epigraph and introductory prose.	no figures or tables; reference marker 1.	source-reviewed and compile-clean.	none.
1	Historical Introduction	1.1	History of Non-Euclidean Geometry	latex/chapters/chapter01/sec11.tex	29--36	pp. 4--11	Section 1.1, HISTORY OF NON-EUCLIDEAN GEOMETRY; equations (1.1.1)--(1.1.15).	Figure 1.1; reference markers 2--5 and 40.	source-reviewed and compile-clean.	none.
1	Historical Introduction	1.2	History of the Theory of Gravitation	latex/chapters/chapter01/sec12.tex	36--40	pp. 11--15	Section 1.2, HISTORY OF THE THEORY OF GRAVITATION; equations (1.2.1)--(1.2.4).	Figure 1.2; reference markers 6--15.	source-reviewed and compile-clean.	none.
1	Historical Introduction	1.3	History of the Principle of Relativity	latex/chapters/chapter01/sec13.tex	40--47	pp. 15--20	Section 1.3, HISTORY OF THE PRINCIPLE OF RELATIVITY; equations (1.3.1)--(1.3.2).	Figure 1.3; reference markers 1 and 16--39.	source-reviewed and compile-clean.	none.
1	Historical Introduction	backmatter	Chapter 1 back matter	latex/chapters/chapter01/backmatter.tex	47--50	pp. 20--23	Chapter 1 bibliography and references 1--40.	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	opening	Chapter 2 opening	latex/chapters/chapter02/introduction.tex	51	p. 25	Chapter 2 epigraph and introductory paragraphs.	epigraph; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.1	Lorentz Transformations	latex/chapters/chapter02/sec21.tex	51--55	pp. 25--29	Section 2.1, Lorentz Transformations; equations (2.1.1)--(2.1.21).	no figures or tables; reference markers 1 and 2.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.2	Time Dilation	latex/chapters/chapter02/sec22.tex	55--57	pp. 29--31	Section 2.2, Time Dilation; equations (2.2.1)--(2.2.2).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.3	Particle Dynamics	latex/chapters/chapter02/sec23.tex	57--58	pp. 31--32	Section 2.3, Particle Dynamics; equations (2.3.1)--(2.3.8).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.4	Energy and Momentum	latex/chapters/chapter02/sec24.tex	58--60	pp. 32--34	Section 2.4, Energy and Momentum; equations (2.4.1)--(2.4.10).	no figures or tables; reference marker 3.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.5	Vectors and Tensors	latex/chapters/chapter02/sec25.tex	61--65	pp. 35--39	Section 2.5, Vectors and Tensors; equations (2.5.1)--(2.5.15).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.6	Currents and Densities	latex/chapters/chapter02/sec26.tex	65--67	pp. 39--41	Section 2.6, Currents and Densities; equations (2.6.1)--(2.6.8).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.7	Electrodynamics	latex/chapters/chapter02/sec27.tex	67--69	pp. 41--43	Section 2.7, Electrodynamics; equations (2.7.1)--(2.7.13).	none.	source-reviewed and compile-clean.	none.
